country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,81,79.6,79.5,80.9,67.6,69.7,70,68.7,67.6,67.4,66.9,65.4,65.9,69.6,,,,,,,,,,,
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.2,37.4,41.1,39,39.8,40.3,45.4,45.2,48.9,49.7,50.6,52.7,53,53.2,59,58.3,59.5,55.5,56.1
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.1,25.2,30.2,31.9,21,22.2,27,37.9,41.2,40.3,35.5,37.2,34.6,34.3,49,41.9,39.1,39.6,42.8,46.8,48.7,47,46.8,43.2,38.9,41.4
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.8,42.3,44,46.8,44.3,44.9,43.8,41.9,42.6,43.6,43.5,44.6,44.7,45.3,44,44.3,45,44.6,45.8,46.3,46.7,48,47.7,48.6,48.4
United Arab Emirates,,,,,,,,,,,,,,,,25.5,27.6,31.5,31.3,28.1,26.8,31.1,36.2,37.9,36.3,37.8,46.7,44.2,45.8,43.7,40,51.9,43.3,47,51.9,52.7,51.8,52.6,57.8,55.6,49.2,48.1,50.3,49,46.7,43,41,44.2,41.2,46.9,46.7,41.3,41.9,44.4,46.6,55.4,57.8,56.7,52.2,53.1,
Argentina,,,,,,38.7,40.1,42.6,43.2,43.4,48.1,43.2,43.4,44.7,46.2,43.3,41,44.1,46.4,48.2,52.4,53.2,49.3,49.8,51.9,53.1,54.8,54.1,52.5,48,55.9,60.6,63.3,61.1,61.6,62.3,61.4,60.8,61.5,63.5,63.5,65.1,54.8,51,47.8,48.5,48.7,49.5,50.3,53.3,51.5,51.8,53.7,53.9,52.9,55.8,56.1,57.3,55.9,54.3,54.3
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.7,45.7,47.4,48.2,49.9,50.8,52.6,54.2,53.3
Antigua and Barbuda,,,,,,,,,,,,,,,,,,75.1,75.6,75.1,73.6,73.1,75.7,76.5,76.8,75.8,72.4,71.9,71.7,71.5,72.5,72.3,73.2,74.2,74.2,73.7,73.7,74,74.4,74.2,76.2,75.8,75,74.5,73.2,72.6,68.3,67.6,67.3,68.4,70.7,72.1,71.6,70.9,70.4,69.9,68.5,67.4,65.8,66.3,65.2
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.4,61.1,61.8,62.4,62.4,62.3,62.4,63.3,63.5,64.3,64.3,64.1,64,64.3,64.3,64.4,63.7,64.4,64.5,64.1,65.7,64.7,65.3,66.3,65.8,67.3,68.3,67,66.7,66,66
Austria,,,,,,,,,,,,,,,,,49.6,50.5,50.5,51.7,51.6,52.2,53.4,54,54.2,54.6,55,55.6,55.7,56.1,56.1,56.4,57.3,58.4,58.2,58.9,58.7,58.5,58.9,58.7,59.3,59.5,60.3,60.4,60.3,60.6,60.7,60.3,61,62.2,62.3,62.3,62,62.3,62.7,62.9,62.6,62.6,62.7,62.8,62.8
